Adapter Card Pin,Net Name,Signal Description,Signal Type,Direction seen from Adapter Board
DIG_IO_00,PWM H1#,Gate H1,PWM/Direct,Input
DIG_IO_01,PWM L1#,Gate L1,PWM/Direct,Input
DIG_IO_02,PWM H2#,Gate H2,PWM/Direct,Input
DIG_IO_03,PWM L2#,Gate L2,PWM/Direct,Input
DIG_IO_04,PWM H3#,Gate H3,PWM/Direct,Input
DIG_IO_05,PWM L3#,Gate L3,PWM/Direct,Input
DIG_IO_06,I1 DIAG,Diagnostic Signal of current i1,"Level, low active",Output
DIG_IO_07,H1 Temp,Temperature feedback H1,PWM,Output
DIG_IO_08,I2 DIAG,Diagnostic Signal of current i2,"Level, low active",Output
DIG_IO_09,L1 Temp,Temperature feedback L1,PWM,Output
DIG_IO_10,I3 DIAG,Diagnostic Signal of current i3,"Level, low active",Output
DIG_IO_11,L1 OC,Over current indicator L1,"Level, low active",Output
DIG_IO_12,I DIAG,Diagnostic Signal of current i_dc,"Level, low active",Output
DIG_IO_13,L1 FAULT,Fault indicator L1,"Level, low active",Output
DIG_IO_14,PWM EN,Enable Gate signals,"Level, high active",Input
DIG_IO_15,H1 OC,Over current indicator H1,"Level, low active",Output
DIG_IO_16,-,-,-,-
DIG_IO_17,H1 FAULT,Fault indicator H1,"Level, low active",Output
DIG_IO_18,H3 Temp,Temperature feedback H3,PWM,Output
DIG_IO_19,H2 Temp,Temperature feedback H2,PWM,Output
DIG_IO_20,L3 Temp,Temperature feedback L3,PWM,Output
DIG_IO_21,L2 Temp,Temperature feedback L2,PWM,Output
DIG_IO_22,L3 OC,Over current indicator L3,"Level, low active",Output
DIG_IO_23,L2 OC,Over current indicator L2,"Level, low active",Output
DIG_IO_24,L3 FAULT,Fault indicator L3,"Level, low active",Output
DIG_IO_25,L2 FAULT,Fault indicator L2,"Level, low active",Output
DIG_IO_26,H3 OC,Over current indicator H3,"Level, low active",Output
DIG_IO_27,H2 OC,Over current indicator H2,"Level, low active",Output
DIG_IO_28,H3 FAULT,Fault indicator H3,"Level, low active",Output
DIG_IO_29,H2 FAULT,Fault indicator H2,"Level, low active",Output